order_id,date,customer_id,product_id,quantity,unit_price,revenue
ORD-00034,2025-01-09,CUS-0107,PRD-040,2,19.49,38.98
ORD-00089,2025-01-09,CUS-0299,PRD-018,2,110.62,221.24
ORD-00414,2025-01-09,CUS-0394,PRD-010,2,13.11,26.22
ORD-00897,2025-01-09,CUS-0174,PRD-020,2,128.49,256.98
ORD-01441,2025-01-09,CUS-0003,PRD-017,3,69.39,208.17
ORD-01653,2025-01-09,CUS-0262,PRD-039,2,17.91,35.82
ORD-01957,2025-01-09,CUS-0348,PRD-030,3,436.33,1308.99
ORD-01474,2025-01-10,CUS-0337,PRD-012,1,94.32,94.32
ORD-00015,2025-01-11,CUS-0117,PRD-029,1,106.8,106.8
ORD-00111,2025-01-11,CUS-0060,PRD-030,3,436.33,1308.99
ORD-00328,2025-01-11,CUS-0082,PRD-010,1,13.11,13.11
ORD-00425,2025-01-11,CUS-0122,PRD-036,3,10.53,31.59
ORD-00609,2025-01-11,CUS-0379,PRD-027,4,408.78,1635.12
ORD-00865,2025-01-11,CUS-0043,PRD-008,2,16.08,32.16
ORD-01733,2025-01-11,CUS-0338,PRD-012,10,94.32,943.2
ORD-01829,2025-01-11,CUS-0069,PRD-020,3,128.49,385.47
ORD-00450,2025-01-12,CUS-0046,PRD-028,1,425.59,425.59
ORD-01130,2025-01-12,CUS-0045,PRD-023,4,136.35,545.4
ORD-01257,2025-01-12,CUS-0010,PRD-026,2,98.58,197.16
ORD-01279,2025-01-12,CUS-0174,PRD-023,3,136.35,409.05
ORD-01385,2025-01-12,CUS-0224,PRD-026,5,98.58,492.9
ORD-00882,2025-01-13,CUS-0008,PRD-025,4,88.05,352.2
ORD-01682,2025-01-13,CUS-0296,PRD-024,3,260.78,782.34
ORD-01883,2025-01-13,CUS-0112,PRD-028,10,425.59,4255.9
ORD-01966,2025-01-13,CUS-0257,PRD-023,2,136.35,272.7
ORD-00433,2025-01-14,CUS-0285,PRD-013,1,69.91,69.91
ORD-00762,2025-01-14,CUS-0078,PRD-003,8,9.61,76.88
ORD-01151,2025-01-14,CUS-0011,PRD-026,1,98.58,98.58
ORD-01839,2025-01-14,CUS-0144,PRD-014,5,164.13,820.65
ORD-00095,2025-01-15,CUS-0003,PRD-001,6,19.27,115.62
ORD-00428,2025-01-15,CUS-0056,PRD-002,10,35.33,353.3
ORD-00496,2025-01-15,CUS-0207,PRD-003,6,9.61,57.66
ORD-00946,2025-01-15,CUS-0177,PRD-003,1,9.61,9.61
ORD-00991,2025-01-15,CUS-0042,PRD-007,5,10.68,53.4
ORD-01909,2025-01-15,CUS-0272,PRD-035,6,26.07,156.42
ORD-01971,2025-01-15,CUS-0273,PRD-026,5,98.58,492.9
ORD-00751,2025-01-16,CUS-0018,PRD-036,1,10.53,10.53
ORD-00984,2025-01-16,CUS-0138,PRD-028,5,425.59,2127.95
ORD-01239,2025-01-16,CUS-0212,PRD-004,8,28.11,224.88
ORD-00784,2025-01-17,CUS-0313,PRD-027,1,408.78,408.78
ORD-01111,2025-01-17,CUS-0158,PRD-030,3,436.33,1308.99
ORD-01254,2025-01-17,CUS-0175,PRD-004,6,28.11,168.66
ORD-01919,2025-01-17,CUS-0245,PRD-024,1,260.78,260.78
ORD-00592,2025-01-18,CUS-0357,PRD-002,8,35.33,282.64
ORD-01429,2025-01-18,CUS-0157,PRD-012,3,94.32,282.96
ORD-01503,2025-01-18,CUS-0364,PRD-001,2,19.27,38.54
ORD-01606,2025-01-18,CUS-0074,PRD-020,5,128.49,642.45
ORD-00560,2025-01-19,CUS-0395,PRD-012,2,94.32,188.64
ORD-00671,2025-01-19,CUS-0208,PRD-016,8,131.25,1050.0
ORD-00747,2025-01-19,CUS-0394,PRD-040,6,19.49,116.94
ORD-00977,2025-01-19,CUS-0375,PRD-012,5,94.32,471.6
ORD-00990,2025-01-19,CUS-0004,PRD-028,1,425.59,425.59
ORD-01185,2025-01-19,CUS-0204,PRD-026,1,98.58,98.58
ORD-01894,2025-01-19,CUS-0032,PRD-004,1,28.11,28.11
ORD-01910,2025-01-19,CUS-0236,PRD-002,1,35.33,35.33
ORD-00276,2025-01-20,CUS-0061,PRD-012,1,94.32,94.32
ORD-01358,2025-01-20,CUS-0289,PRD-009,2,10.5,21.0
ORD-01888,2025-01-20,CUS-0319,PRD-031,3,16.59,49.77
ORD-01945,2025-01-20,CUS-0279,PRD-024,1,260.78,260.78
ORD-00043,2025-01-21,CUS-0028,PRD-031,3,16.59,49.77
ORD-00362,2025-01-21,CUS-0102,PRD-029,2,106.8,213.6
ORD-00412,2025-01-21,CUS-0355,PRD-040,3,19.49,58.47
ORD-00447,2025-01-21,CUS-0101,PRD-036,5,10.53,52.65
ORD-00917,2025-01-21,CUS-0306,PRD-028,4,425.59,1702.36
ORD-00980,2025-01-21,CUS-0108,PRD-004,3,28.11,84.33
ORD-01581,2025-01-21,CUS-0393,PRD-011,4,154.66,618.64
ORD-01681,2025-01-21,CUS-0028,PRD-028,5,425.59,2127.95
ORD-00056,2025-01-22,CUS-0199,PRD-024,3,260.78,782.34
ORD-00202,2025-01-22,CUS-0073,PRD-029,3,106.8,320.4
ORD-00552,2025-01-22,CUS-0223,PRD-012,2,94.32,188.64
ORD-00901,2025-01-22,CUS-0232,PRD-035,3,26.07,78.21
ORD-00020,2025-01-23,CUS-0381,PRD-037,3,55.4,166.2
ORD-01085,2025-01-23,CUS-0377,PRD-012,1,94.32,94.32
ORD-01401,2025-01-23,CUS-0129,PRD-026,3,98.58,295.74
ORD-01732,2025-01-23,CUS-0220,PRD-020,3,128.49,385.47
ORD-00254,2025-01-24,CUS-0059,PRD-012,3,94.32,282.96
ORD-00394,2025-01-24,CUS-0103,PRD-014,2,164.13,328.26
ORD-00632,2025-01-24,CUS-0258,PRD-028,3,425.59,1276.77
ORD-00845,2025-01-24,CUS-0350,PRD-011,3,154.66,463.98
ORD-01132,2025-01-24,CUS-0215,PRD-004,2,28.11,56.22
ORD-01181,2025-01-24,CUS-0370,PRD-032,6,70.79,424.74
ORD-01627,2025-01-24,CUS-0215,PRD-019,3,51.1,153.3
ORD-00117,2025-01-25,CUS-0092,PRD-012,2,94.32,188.64
ORD-00317,2025-01-25,CUS-0193,PRD-012,2,94.32,188.64
ORD-00114,2025-01-26,CUS-0367,PRD-003,5,9.61,48.05
ORD-00280,2025-01-26,CUS-0369,PRD-029,1,106.8,106.8
ORD-00827,2025-01-26,CUS-0249,PRD-012,4,94.32,377.28
ORD-00846,2025-01-26,CUS-0169,PRD-029,3,106.8,320.4
ORD-01169,2025-01-26,CUS-0242,PRD-004,1,28.11,28.11
ORD-00667,2025-01-27,CUS-0212,PRD-012,1,94.32,94.32
ORD-00752,2025-01-27,CUS-0225,PRD-017,4,69.39,277.56
ORD-01650,2025-01-27,CUS-0267,PRD-001,2,19.27,38.54
ORD-01761,2025-01-27,CUS-0297,PRD-024,5,260.78,1303.9
ORD-01835,2025-01-27,CUS-0256,PRD-030,1,436.33,436.33
ORD-01869,2025-01-27,CUS-0027,PRD-017,3,69.39,208.17
ORD-00987,2025-01-28,CUS-0202,PRD-010,1,13.11,13.11
ORD-01611,2025-01-28,CUS-0248,PRD-018,3,110.62,331.86
ORD-00066,2025-01-29,CUS-0339,PRD-019,3,51.1,153.3
ORD-00459,2025-01-29,CUS-0227,PRD-010,8,13.11,104.88
ORD-00944,2025-01-29,CUS-0164,PRD-010,1,13.11,13.11
ORD-00979,2025-01-29,CUS-0087,PRD-039,1,17.91,17.91
ORD-01754,2025-01-29,CUS-0064,PRD-020,2,128.49,256.98
ORD-00272,2025-01-30,CUS-0114,PRD-026,2,98.58,197.16
ORD-00783,2025-01-30,CUS-0101,PRD-033,5,10.51,52.55
ORD-01262,2025-01-30,CUS-0075,PRD-003,2,9.61,19.22
ORD-00391,2025-01-31,CUS-0367,PRD-014,1,164.13,164.13
ORD-00896,2025-01-31,CUS-0356,PRD-024,4,260.78,1043.12
ORD-00250,2025-02-01,CUS-0064,PRD-036,2,10.53,21.06
ORD-00513,2025-02-01,CUS-0098,PRD-001,1,19.27,19.27
ORD-00655,2025-02-01,CUS-0251,PRD-032,2,70.79,141.58
ORD-01311,2025-02-01,CUS-0117,PRD-038,1,31.77,31.77
ORD-01859,2025-02-01,CUS-0018,PRD-012,6,94.32,565.92
ORD-00959,2025-02-02,CUS-0233,PRD-014,2,164.13,328.26
ORD-01435,2025-02-02,CUS-0336,PRD-026,2,98.58,197.16
ORD-01544,2025-02-02,CUS-0278,PRD-008,2,16.08,32.16
ORD-01344,2025-02-03,CUS-0191,PRD-028,4,425.59,1702.36
ORD-01518,2025-02-03,CUS-0080,PRD-024,2,260.78,521.56
ORD-00138,2025-02-04,CUS-0280,PRD-030,4,436.33,1745.32
ORD-01043,2025-02-04,CUS-0246,PRD-012,1,94.32,94.32
ORD-01408,2025-02-04,CUS-0194,PRD-017,8,69.39,555.12
ORD-01768,2025-02-04,CUS-0185,PRD-012,3,94.32,282.96
ORD-01814,2025-02-04,CUS-0012,PRD-008,10,16.08,160.8
ORD-00128,2025-02-05,CUS-0188,PRD-033,4,10.51,42.04
ORD-00465,2025-02-05,CUS-0221,PRD-010,1,13.11,13.11
ORD-01017,2025-02-05,CUS-0277,PRD-029,4,106.8,427.2
ORD-01584,2025-02-05,CUS-0261,PRD-019,3,51.1,153.3
ORD-01778,2025-02-05,CUS-0385,PRD-008,2,16.08,32.16
ORD-00120,2025-02-06,CUS-0061,PRD-020,4,128.49,513.96
ORD-00763,2025-02-06,CUS-0188,PRD-024,6,260.78,1564.68
ORD-01206,2025-02-06,CUS-0241,PRD-025,4,88.05,352.2
ORD-01588,2025-02-06,CUS-0013,PRD-006,3,24.5,73.5
ORD-00342,2025-02-07,CUS-0173,PRD-017,2,69.39,138.78
ORD-00390,2025-02-07,CUS-0106,PRD-028,6,425.59,2553.54
ORD-00885,2025-02-07,CUS-0170,PRD-018,8,110.62,884.96
ORD-01443,2025-02-07,CUS-0001,PRD-013,3,69.91,209.73
ORD-00539,2025-02-08,CUS-0356,PRD-008,10,16.08,160.8
ORD-00766,2025-02-08,CUS-0232,PRD-012,1,94.32,94.32
ORD-01620,2025-02-08,CUS-0126,PRD-017,3,69.39,208.17
ORD-01799,2025-02-08,CUS-0349,PRD-026,2,98.58,197.16
ORD-01892,2025-02-08,CUS-0284,PRD-039,2,17.91,35.82
ORD-00550,2025-02-09,CUS-0243,PRD-012,1,94.32,94.32
ORD-00833,2025-02-09,CUS-0133,PRD-029,8,106.8,854.4
ORD-00928,2025-02-09,CUS-0158,PRD-012,3,94.32,282.96
ORD-01347,2025-02-09,CUS-0128,PRD-003,1,9.61,9.61
ORD-01412,2025-02-09,CUS-0218,PRD-017,1,69.39,69.39
ORD-01538,2025-02-09,CUS-0295,PRD-016,1,131.25,131.25
ORD-00241,2025-02-10,CUS-0385,PRD-006,1,24.5,24.5
ORD-00345,2025-02-10,CUS-0217,PRD-015,1,57.87,57.87
ORD-00397,2025-02-10,CUS-0293,PRD-040,3,19.49,58.47
ORD-00572,2025-02-10,CUS-0302,PRD-012,4,94.32,377.28
ORD-00579,2025-02-10,CUS-0313,PRD-034,1,45.84,45.84
ORD-00591,2025-02-10,CUS-0181,PRD-003,1,9.61,9.61
ORD-00844,2025-02-10,CUS-0308,PRD-018,1,110.62,110.62
ORD-01154,2025-02-10,CUS-0373,PRD-015,4,57.87,231.48
ORD-01350,2025-02-10,CUS-0329,PRD-012,1,94.32,94.32
ORD-01483,2025-02-10,CUS-0278,PRD-012,2,94.32,188.64
ORD-01984,2025-02-10,CUS-0168,PRD-010,2,13.11,26.22
ORD-00361,2025-02-11,CUS-0331,PRD-025,6,88.05,528.3
ORD-00501,2025-02-11,CUS-0067,PRD-039,4,17.91,71.64
ORD-01133,2025-02-11,CUS-0048,PRD-039,2,17.91,35.82
ORD-01314,2025-02-11,CUS-0001,PRD-030,10,436.33,4363.3
ORD-00269,2025-02-12,CUS-0223,PRD-040,4,19.49,77.96
ORD-00339,2025-02-12,CUS-0035,PRD-015,2,57.87,115.74
ORD-00817,2025-02-12,CUS-0131,PRD-029,5,106.8,534.0
ORD-01031,2025-02-12,CUS-0108,PRD-023,1,136.35,136.35
ORD-01449,2025-02-12,CUS-0332,PRD-004,6,28.11,168.66
ORD-01554,2025-02-12,CUS-0220,PRD-011,1,154.66,154.66
ORD-00259,2025-02-13,CUS-0343,PRD-008,1,16.08,16.08
ORD-00832,2025-02-13,CUS-0332,PRD-012,1,94.32,94.32
ORD-01202,2025-02-13,CUS-0046,PRD-030,4,436.33,1745.32
ORD-01307,2025-02-13,CUS-0225,PRD-038,2,31.77,63.54
ORD-01357,2025-02-13,CUS-0036,PRD-012,2,94.32,188.64
ORD-01398,2025-02-13,CUS-0001,PRD-018,4,110.62,442.48
ORD-01680,2025-02-13,CUS-0254,PRD-008,2,16.08,32.16
ORD-00526,2025-02-14,CUS-0032,PRD-012,1,94.32,94.32
ORD-00674,2025-02-15,CUS-0095,PRD-039,3,17.91,53.73
ORD-00790,2025-02-15,CUS-0398,PRD-026,3,98.58,295.74
ORD-00957,2025-02-15,CUS-0209,PRD-024,1,260.78,260.78
ORD-01047,2025-02-15,CUS-0394,PRD-008,4,16.08,64.32
ORD-01136,2025-02-15,CUS-0367,PRD-003,2,9.61,19.22
ORD-01440,2025-02-15,CUS-0199,PRD-029,8,106.8,854.4
ORD-01452,2025-02-15,CUS-0089,PRD-028,4,425.59,1702.36
ORD-01498,2025-02-15,CUS-0088,PRD-027,10,408.78,4087.8
ORD-01779,2025-02-15,CUS-0107,PRD-032,2,70.79,141.58
ORD-01827,2025-02-15,CUS-0203,PRD-024,3,260.78,782.34
ORD-00143,2025-02-16,CUS-0266,PRD-031,1,16.59,16.59
ORD-00429,2025-02-16,CUS-0043,PRD-024,4,260.78,1043.12
ORD-01640,2025-02-16,CUS-0356,PRD-019,1,51.1,51.1
ORD-01954,2025-02-16,CUS-0070,PRD-001,2,19.27,38.54
ORD-00776,2025-02-17,CUS-0246,PRD-012,2,94.32,188.64
ORD-01893,2025-02-17,CUS-0251,PRD-031,10,16.59,165.9
ORD-00498,2025-02-18,CUS-0244,PRD-008,5,16.08,80.4
ORD-01524,2025-02-18,CUS-0006,PRD-012,2,94.32,188.64
ORD-00639,2025-02-19,CUS-0286,PRD-020,1,128.49,128.49
ORD-00820,2025-02-19,CUS-0028,PRD-011,5,154.66,773.3
ORD-00908,2025-02-19,CUS-0290,PRD-003,4,9.61,38.44
ORD-01153,2025-02-19,CUS-0141,PRD-007,4,10.68,42.72
ORD-01776,2025-02-19,CUS-0139,PRD-020,10,128.49,1284.9
ORD-01975,2025-02-19,CUS-0092,PRD-017,10,69.39,693.9
ORD-01211,2025-02-20,CUS-0227,PRD-028,3,425.59,1276.77
ORD-01252,2025-02-20,CUS-0100,PRD-007,2,10.68,21.36
ORD-01813,2025-02-20,CUS-0219,PRD-012,1,94.32,94.32
ORD-01673,2025-02-21,CUS-0268,PRD-012,3,94.32,282.96
ORD-00298,2025-02-22,CUS-0334,PRD-028,1,425.59,425.59
ORD-00761,2025-02-22,CUS-0385,PRD-028,1,425.59,425.59
ORD-01135,2025-02-22,CUS-0245,PRD-031,10,16.59,165.9
ORD-01355,2025-02-22,CUS-0117,PRD-022,1,334.91,334.91
ORD-01550,2025-02-22,CUS-0391,PRD-012,3,94.32,282.96
ORD-01652,2025-02-22,CUS-0201,PRD-021,5,198.7,993.5
ORD-01845,2025-02-22,CUS-0029,PRD-026,4,98.58,394.32
ORD-00083,2025-02-23,CUS-0001,PRD-008,10,16.08,160.8
ORD-00163,2025-02-23,CUS-0335,PRD-026,8,98.58,788.64
ORD-01635,2025-02-23,CUS-0105,PRD-030,2,436.33,872.66
ORD-01991,2025-02-23,CUS-0062,PRD-018,1,110.62,110.62
ORD-00021,2025-02-24,CUS-0141,PRD-031,3,16.59,49.77
ORD-00204,2025-02-24,CUS-0138,PRD-005,2,19.22,38.44
ORD-00448,2025-02-24,CUS-0371,PRD-017,6,69.39,416.34
ORD-01054,2025-02-24,CUS-0124,PRD-036,4,10.53,42.12
ORD-01532,2025-02-24,CUS-0141,PRD-026,1,98.58,98.58
ORD-01676,2025-02-24,CUS-0082,PRD-010,1,13.11,13.11
ORD-00366,2025-02-25,CUS-0394,PRD-033,4,10.51,42.04
ORD-00484,2025-02-25,CUS-0273,PRD-028,1,425.59,425.59
ORD-01968,2025-02-25,CUS-0183,PRD-013,4,69.91,279.64
ORD-00518,2025-02-26,CUS-0283,PRD-012,2,94.32,188.64
ORD-00825,2025-02-26,CUS-0239,PRD-019,1,51.1,51.1
ORD-01238,2025-02-26,CUS-0097,PRD-012,6,94.32,565.92
ORD-01615,2025-02-26,CUS-0144,PRD-010,2,13.11,26.22
ORD-01617,2025-02-26,CUS-0294,PRD-017,1,69.39,69.39
ORD-00219,2025-02-27,CUS-0118,PRD-037,2,55.4,110.8
ORD-00809,2025-02-27,CUS-0232,PRD-017,5,69.39,346.95
ORD-01642,2025-02-27,CUS-0383,PRD-016,1,131.25,131.25
ORD-00370,2025-02-28,CUS-0119,PRD-019,1,51.1,51.1
ORD-00613,2025-02-28,CUS-0248,PRD-024,1,260.78,260.78
ORD-00758,2025-02-28,CUS-0179,PRD-034,2,45.84,91.68
ORD-01406,2025-02-28,CUS-0128,PRD-027,2,408.78,817.56
ORD-01521,2025-02-28,CUS-0353,PRD-012,8,94.32,754.56
ORD-01824,2025-02-28,CUS-0381,PRD-004,3,28.11,84.33
ORD-00109,2025-03-01,CUS-0243,PRD-010,2,13.11,26.22
ORD-01338,2025-03-01,CUS-0367,PRD-006,3,24.5,73.5
ORD-01595,2025-03-01,CUS-0191,PRD-012,4,94.32,377.28
ORD-00267,2025-03-02,CUS-0254,PRD-032,1,70.79,70.79
ORD-00538,2025-03-02,CUS-0229,PRD-006,2,24.5,49.0
ORD-00617,2025-03-02,CUS-0217,PRD-032,4,70.79,283.16
ORD-01174,2025-03-02,CUS-0178,PRD-035,1,26.07,26.07
ORD-01890,2025-03-02,CUS-0232,PRD-018,5,110.62,553.1
ORD-00488,2025-03-03,CUS-0386,PRD-028,2,425.59,851.18
ORD-00672,2025-03-03,CUS-0055,PRD-012,3,94.32,282.96
ORD-01231,2025-03-03,CUS-0362,PRD-006,1,24.5,24.5
ORD-01662,2025-03-03,CUS-0166,PRD-026,4,98.58,394.32
ORD-00516,2025-03-04,CUS-0258,PRD-037,10,55.4,554.0
ORD-00628,2025-03-04,CUS-0018,PRD-026,1,98.58,98.58
ORD-01012,2025-03-04,CUS-0100,PRD-028,4,425.59,1702.36
ORD-01331,2025-03-04,CUS-0166,PRD-040,1,19.49,19.49
ORD-01369,2025-03-04,CUS-0231,PRD-032,1,70.79,70.79
ORD-01475,2025-03-04,CUS-0352,PRD-038,5,31.77,158.85
ORD-00418,2025-03-05,CUS-0126,PRD-029,3,106.8,320.4
ORD-00687,2025-03-05,CUS-0332,PRD-024,8,260.78,2086.24
ORD-00733,2025-03-05,CUS-0359,PRD-036,2,10.53,21.06
ORD-00903,2025-03-05,CUS-0100,PRD-032,1,70.79,70.79
ORD-00906,2025-03-05,CUS-0308,PRD-024,5,260.78,1303.9
ORD-01187,2025-03-05,CUS-0130,PRD-040,1,19.49,19.49
ORD-01332,2025-03-05,CUS-0291,PRD-015,3,57.87,173.61
ORD-01433,2025-03-05,CUS-0135,PRD-008,3,16.08,48.24
ORD-01563,2025-03-05,CUS-0050,PRD-030,2,436.33,872.66
ORD-01880,2025-03-05,CUS-0014,PRD-010,1,13.11,13.11
ORD-00225,2025-03-06,CUS-0002,PRD-012,5,94.32,471.6
ORD-00271,2025-03-06,CUS-0123,PRD-039,1,17.91,17.91
ORD-01129,2025-03-06,CUS-0157,PRD-022,5,334.91,1674.55
ORD-01287,2025-03-06,CUS-0114,PRD-024,3,260.78,782.34
ORD-01736,2025-03-06,CUS-0249,PRD-020,3,128.49,385.47
ORD-01755,2025-03-06,CUS-0333,PRD-013,1,69.91,69.91
ORD-01918,2025-03-06,CUS-0343,PRD-025,1,88.05,88.05
ORD-01959,2025-03-06,CUS-0368,PRD-026,3,98.58,295.74
ORD-01987,2025-03-06,CUS-0359,PRD-015,8,57.87,462.96
ORD-00213,2025-03-07,CUS-0210,PRD-034,6,45.84,275.04
ORD-00675,2025-03-07,CUS-0279,PRD-003,2,9.61,19.22
ORD-01295,2025-03-07,CUS-0293,PRD-030,2,436.33,872.66
ORD-01703,2025-03-07,CUS-0191,PRD-035,2,26.07,52.14
ORD-00035,2025-03-08,CUS-0015,PRD-024,3,260.78,782.34
ORD-00215,2025-03-08,CUS-0174,PRD-019,3,51.1,153.3
ORD-00351,2025-03-08,CUS-0045,PRD-031,3,16.59,49.77
ORD-00588,2025-03-08,CUS-0051,PRD-003,1,9.61,9.61
ORD-00688,2025-03-08,CUS-0148,PRD-003,2,9.61,19.22
ORD-00731,2025-03-08,CUS-0061,PRD-016,1,131.25,131.25
ORD-00843,2025-03-08,CUS-0122,PRD-013,2,69.91,139.82
ORD-01571,2025-03-08,CUS-0115,PRD-024,1,260.78,260.78
ORD-01857,2025-03-08,CUS-0178,PRD-024,1,260.78,260.78
ORD-00075,2025-03-09,CUS-0111,PRD-026,3,98.58,295.74
ORD-00152,2025-03-09,CUS-0135,PRD-029,4,106.8,427.2
ORD-00174,2025-03-09,CUS-0075,PRD-008,1,16.08,16.08
ORD-00545,2025-03-09,CUS-0078,PRD-039,1,17.91,17.91
ORD-00547,2025-03-09,CUS-0112,PRD-015,2,57.87,115.74
ORD-00563,2025-03-09,CUS-0253,PRD-013,1,69.91,69.91
ORD-00826,2025-03-09,CUS-0006,PRD-009,1,10.5,10.5
ORD-00937,2025-03-09,CUS-0216,PRD-012,1,94.32,94.32
ORD-01654,2025-03-09,CUS-0230,PRD-017,3,69.39,208.17
ORD-00134,2025-03-10,CUS-0204,PRD-031,3,16.59,49.77
ORD-00546,2025-03-10,CUS-0263,PRD-012,2,94.32,188.64
ORD-00962,2025-03-10,CUS-0343,PRD-019,1,51.1,51.1
ORD-01250,2025-03-10,CUS-0041,PRD-013,3,69.91,209.73
ORD-01425,2025-03-10,CUS-0276,PRD-026,6,98.58,591.48
ORD-01504,2025-03-10,CUS-0387,PRD-010,3,13.11,39.33
ORD-01925,2025-03-10,CUS-0158,PRD-014,2,164.13,328.26
ORD-01515,2025-03-11,CUS-0008,PRD-014,2,164.13,328.26
ORD-01608,2025-03-11,CUS-0106,PRD-001,1,19.27,19.27
ORD-01744,2025-03-11,CUS-0007,PRD-028,6,425.59,2553.54
ORD-01817,2025-03-11,CUS-0189,PRD-018,5,110.62,553.1
ORD-01104,2025-03-12,CUS-0164,PRD-012,1,94.32,94.32
ORD-01168,2025-03-12,CUS-0181,PRD-004,8,28.11,224.88
ORD-01188,2025-03-12,CUS-0147,PRD-034,5,45.84,229.2
ORD-01818,2025-03-12,CUS-0021,PRD-003,1,9.61,9.61
ORD-00119,2025-03-13,CUS-0170,PRD-019,1,51.1,51.1
ORD-00527,2025-03-13,CUS-0228,PRD-033,6,10.51,63.06
ORD-01539,2025-03-13,CUS-0124,PRD-024,1,260.78,260.78
ORD-01636,2025-03-13,CUS-0153,PRD-018,2,110.62,221.24
ORD-01796,2025-03-13,CUS-0218,PRD-025,2,88.05,176.1
ORD-00499,2025-03-14,CUS-0375,PRD-026,4,98.58,394.32
ORD-00543,2025-03-14,CUS-0137,PRD-003,4,9.61,38.44
ORD-00969,2025-03-14,CUS-0366,PRD-012,2,94.32,188.64
ORD-01646,2025-03-14,CUS-0078,PRD-011,1,154.66,154.66
ORD-01671,2025-03-14,CUS-0373,PRD-018,1,110.62,110.62
ORD-00521,2025-03-15,CUS-0041,PRD-040,1,19.49,19.49
ORD-00575,2025-03-15,CUS-0170,PRD-012,1,94.32,94.32
ORD-01118,2025-03-15,CUS-0208,PRD-012,1,94.32,94.32
ORD-01199,2025-03-15,CUS-0306,PRD-008,2,16.08,32.16
ORD-01391,2025-03-15,CUS-0378,PRD-028,2,425.59,851.18
ORD-01173,2025-03-16,CUS-0278,PRD-030,8,436.33,3490.64
ORD-01497,2025-03-16,CUS-0122,PRD-001,6,19.27,115.62
ORD-01685,2025-03-16,CUS-0035,PRD-014,4,164.13,656.52
ORD-01712,2025-03-16,CUS-0049,PRD-003,3,9.61,28.83
ORD-00048,2025-03-17,CUS-0347,PRD-028,5,425.59,2127.95
ORD-00235,2025-03-17,CUS-0348,PRD-011,3,154.66,463.98
ORD-00503,2025-03-17,CUS-0295,PRD-033,1,10.51,10.51
ORD-00940,2025-03-17,CUS-0039,PRD-030,4,436.33,1745.32
ORD-01300,2025-03-17,CUS-0182,PRD-020,1,128.49,128.49
ORD-01885,2025-03-17,CUS-0220,PRD-026,4,98.58,394.32
ORD-00277,2025-03-18,CUS-0137,PRD-032,10,70.79,707.9
ORD-00648,2025-03-18,CUS-0200,PRD-029,3,106.8,320.4
ORD-00741,2025-03-18,CUS-0219,PRD-017,1,69.39,69.39
ORD-01241,2025-03-18,CUS-0229,PRD-023,2,136.35,272.7
